Current density,Specific surface area,N,Active mass loading,Pore volume,O,Rmic/mes,ID/IG,target
5.0,642.0,5.19,1.0,0.58,5.51,0.184,3.5,90.9
10.0,642.0,5.19,1.0,0.58,5.51,0.184,3.5,83.2
20.0,642.0,5.19,1.0,0.58,5.51,0.184,3.5,73.8
40.0,642.0,5.19,1.0,0.58,5.51,0.184,3.5,63.3
60.0,642.0,5.19,1.0,0.58,5.51,0.184,3.5,55.4
80.0,642.0,5.19,1.0,0.58,5.51,0.184,3.5,46.9
0.2,1702.0,6.67,1.0,1.29,11.74,0.675,4.4,212.0
0.5,1702.0,6.67,1.0,1.29,11.74,0.675,4.4,189.9
1.0,1702.0,6.67,1.0,1.29,11.74,0.675,4.4,171.8
2.0,1702.0,6.67,1.0,1.29,11.74,0.675,4.4,155.1
5.0,1702.0,6.67,1.0,1.29,11.74,0.675,4.4,145.9
10.0,1702.0,6.67,1.0,1.29,11.74,0.675,4.4,134.2
20.0,1702.0,6.67,1.0,1.29,11.74,0.675,4.4,126.2
40.0,1702.0,6.67,1.0,1.29,11.74,0.675,4.4,114.0
60.0,1702.0,6.67,1.0,1.29,11.74,0.675,4.4,104.4
80.0,1702.0,6.67,1.0,1.29,11.74,0.675,4.4,93.4
0.2,1702.0,6.67,3.0,1.29,11.74,0.675,4.4,174.9
0.2,1702.0,6.67,5.0,1.29,11.74,0.675,4.4,157.2
0.2,1702.0,6.67,10.0,1.29,11.74,0.675,4.4,134.0
0.2,1702.0,6.67,20.0,1.29,11.74,0.675,4.4,107.2
0.2,1702.0,6.67,40.0,1.29,11.74,0.675,4.4,87.7
0.2,1398.16,0.53,1.0,0.79,7.41,2.03846153846154,0.7,94.6
0.5,1398.16,0.53,1.0,0.79,7.41,2.03846153846154,0.7,84.0
0.8,1398.16,0.53,1.0,0.79,7.41,2.03846153846154,0.7,80.3
1.0,1398.16,0.53,1.0,0.79,7.41,2.03846153846154,0.7,77.9
2.0,1398.16,0.53,1.0,0.79,7.41,2.03846153846154,0.7,75.0
5.0,1398.16,0.53,1.0,0.79,7.41,2.03846153846154,0.7,71.3
8.0,1398.16,0.53,1.0,0.79,7.41,2.03846153846154,0.7,67.5
10.0,1398.16,0.53,1.0,0.79,7.41,2.03846153846154,0.7,65.7
0.2,2363.18,2.16,1.0,1.33,6.75,0.6625,0.79,135.3
0.5,2363.18,2.16,1.0,1.33,6.75,0.6625,0.79,110.1
0.8,2363.18,2.16,1.0,1.33,6.75,0.6625,0.79,102.2
1.0,2363.18,2.16,1.0,1.33,6.75,0.6625,0.79,99.2
2.0,2363.18,2.16,1.0,1.33,6.75,0.6625,0.79,92.6
5.0,2363.18,2.16,1.0,1.33,6.75,0.6625,0.79,86.7
8.0,2363.18,2.16,1.0,1.33,6.75,0.6625,0.79,83.9
10.0,2363.18,2.16,1.0,1.33,6.75,0.6625,0.79,82.0
0.2,803.95,3.74,1.0,0.53,10.36,1.94444444444444,0.75,144.6
0.5,803.95,3.74,1.0,0.53,10.36,1.94444444444444,0.75,122.9
0.8,803.95,3.74,1.0,0.53,10.36,1.94444444444444,0.75,112.8
1.0,803.95,3.74,1.0,0.53,10.36,1.94444444444444,0.75,107.1
2.0,803.95,3.74,1.0,0.53,10.36,1.94444444444444,0.75,96.7
5.0,803.95,3.74,1.0,0.53,10.36,1.94444444444444,0.75,85.6
8.0,803.95,3.74,1.0,0.53,10.36,1.94444444444444,0.75,77.1
10.0,803.95,3.74,1.0,0.53,10.36,1.94444444444444,0.75,73.1
0.2,1678.38,1.57,1.0,1.04,6.89,1.08,0.82,185.3
0.5,1678.38,1.57,1.0,1.04,6.89,1.08,0.82,134.8
0.8,1678.38,1.57,1.0,1.04,6.89,1.08,0.82,125.0
1.0,1678.38,1.57,1.0,1.04,6.89,1.08,0.82,119.7
2.0,1678.38,1.57,1.0,1.04,6.89,1.08,0.82,111.3
5.0,1678.38,1.57,1.0,1.04,6.89,1.08,0.82,101.5
8.0,1678.38,1.57,1.0,1.04,6.89,1.08,0.82,98.6
10.0,1678.38,1.57,1.0,1.04,6.89,1.08,0.82,95.2
0.2,1590.46,2.86,1.0,1.32,5.49,0.0645161290322581,0.71,84.0
0.5,1590.46,2.86,1.0,1.32,5.49,0.0645161290322581,0.71,69.1
0.8,1590.46,2.86,1.0,1.32,5.49,0.0645161290322581,0.71,64.9
1.0,1590.46,2.86,1.0,1.32,5.49,0.0645161290322581,0.71,63.0
2.0,1590.46,2.86,1.0,1.32,5.49,0.0645161290322581,0.71,58.8
5.0,1590.46,2.86,1.0,1.32,5.49,0.0645161290322581,0.71,56.9
8.0,1590.46,2.86,1.0,1.32,5.49,0.0645161290322581,0.71,55.1
10.0,1590.46,2.86,1.0,1.32,5.49,0.0645161290322581,0.71,53.2
0.3,3252.6,0.0,1.0,3.428,3.37,0.110463232912213,1.02,98.2
0.5,3252.6,0.0,1.0,3.428,3.37,0.110463232912213,1.02,94.2
1.0,3252.6,0.0,1.0,3.428,3.37,0.110463232912213,1.02,89.5
3.0,3252.6,0.0,1.0,3.428,3.37,0.110463232912213,1.02,80.1
5.0,3252.6,0.0,1.0,3.428,3.37,0.110463232912213,1.02,76.2
8.0,3252.6,0.0,1.0,3.428,3.37,0.110463232912213,1.02,73.0
10.0,3252.6,0.0,1.0,3.428,3.37,0.110463232912213,1.02,67.9
20.0,3252.6,0.0,1.0,3.428,3.37,0.110463232912213,1.02,61.2
30.0,3252.6,0.0,1.0,3.428,3.37,0.110463232912213,1.02,56.4
0.3,1687.1,0.95,1.0,1.75,2.75,0.101321585903084,1.11,111.6
0.5,1687.1,0.95,1.0,1.75,2.75,0.101321585903084,1.11,105.1
1.0,1687.1,0.95,1.0,1.75,2.75,0.101321585903084,1.11,102.0
3.0,1687.1,0.95,1.0,1.75,2.75,0.101321585903084,1.11,96.6
5.0,1687.1,0.95,1.0,1.75,2.75,0.101321585903084,1.11,92.4
8.0,1687.1,0.95,1.0,1.75,2.75,0.101321585903084,1.11,90.0
10.0,1687.1,0.95,1.0,1.75,2.75,0.101321585903084,1.11,88.5
20.0,1687.1,0.95,1.0,1.75,2.75,0.101321585903084,1.11,79.9
30.0,1687.1,0.95,1.0,1.75,2.75,0.101321585903084,1.11,72.4
0.3,2330.9,2.99,1.0,2.756,1.91,0.105052125100241,1.24,125.3
0.5,2330.9,2.99,1.0,2.756,1.91,0.105052125100241,1.24,117.3
1.0,2330.9,2.99,1.0,2.756,1.91,0.105052125100241,1.24,115.3
3.0,2330.9,2.99,1.0,2.756,1.91,0.105052125100241,1.24,105.9
5.0,2330.9,2.99,1.0,2.756,1.91,0.105052125100241,1.24,99.8
8.0,2330.9,2.99,1.0,2.756,1.91,0.105052125100241,1.24,97.5
10.0,2330.9,2.99,1.0,2.756,1.91,0.105052125100241,1.24,94.5
20.0,2330.9,2.99,1.0,2.756,1.91,0.105052125100241,1.24,88.9
30.0,2330.9,2.99,1.0,2.756,1.91,0.105052125100241,1.24,83.1
0.3,1317.4,1.3,1.0,1.384,1.9,0.126118795768918,1.05,107.6
0.5,1317.4,1.3,1.0,1.384,1.9,0.126118795768918,1.05,103.0
1.0,1317.4,1.3,1.0,1.384,1.9,0.126118795768918,1.05,99.7
3.0,1317.4,1.3,1.0,1.384,1.9,0.126118795768918,1.05,91.6
5.0,1317.4,1.3,1.0,1.384,1.9,0.126118795768918,1.05,88.7
8.0,1317.4,1.3,1.0,1.384,1.9,0.126118795768918,1.05,82.4
10.0,1317.4,1.3,1.0,1.384,1.9,0.126118795768918,1.05,79.6
20.0,1317.4,1.3,1.0,1.384,1.9,0.126118795768918,1.05,71.9
30.0,1317.4,1.3,1.0,1.384,1.9,0.126118795768918,1.05,63.1
0.5,1667.33,0.0,1.5,1.23,9.92,1.14,1.1,101.2
1.0,1667.33,0.0,1.5,1.23,9.92,1.14,1.1,92.4
2.0,1667.33,0.0,1.5,1.23,9.92,1.14,1.1,84.3
3.0,1667.33,0.0,1.5,1.23,9.92,1.14,1.1,79.8
4.0,1667.33,0.0,1.5,1.23,9.92,1.14,1.1,77.2
5.0,1667.33,0.0,1.5,1.23,9.92,1.14,1.1,75.8
10.0,1667.33,0.0,1.5,1.23,9.92,1.14,1.1,68.2
20.0,1667.33,0.0,1.5,1.23,9.92,1.14,1.1,61.0
0.5,1886.8,0.0,1.5,1.23,9.53,1.278,1.13,113.3
1.0,1886.8,0.0,1.5,1.23,9.53,1.278,1.13,104.9
2.0,1886.8,0.0,1.5,1.23,9.53,1.278,1.13,97.5
3.0,1886.8,0.0,1.5,1.23,9.53,1.278,1.13,93.4
4.0,1886.8,0.0,1.5,1.23,9.53,1.278,1.13,89.9
5.0,1886.8,0.0,1.5,1.23,9.53,1.278,1.13,87.0
10.0,1886.8,0.0,1.5,1.23,9.53,1.278,1.13,78.5
20.0,1886.8,0.0,1.5,1.23,9.53,1.278,1.13,66.0
0.5,2295.25,0.8,1.5,1.63,9.44,1.264,1.18,114.1
1.0,2295.25,0.8,1.5,1.63,9.44,1.264,1.18,103.4
2.0,2295.25,0.8,1.5,1.63,9.44,1.264,1.18,94.5
3.0,2295.25,0.8,1.5,1.63,9.44,1.264,1.18,90.0
4.0,2295.25,0.8,1.5,1.63,9.44,1.264,1.18,86.4
5.0,2295.25,0.8,1.5,1.63,9.44,1.264,1.18,84.0
10.0,2295.25,0.8,1.5,1.63,9.44,1.264,1.18,74.4
20.0,2295.25,0.8,1.5,1.63,9.44,1.264,1.18,62.2
0.5,2773.02,1.32,1.5,1.91,9.05,1.358,1.19,135.0
1.0,2773.02,1.32,1.5,1.91,9.05,1.358,1.19,120.8
2.0,2773.02,1.32,1.5,1.91,9.05,1.358,1.19,106.0
3.0,2773.02,1.32,1.5,1.91,9.05,1.358,1.19,100.5
4.0,2773.02,1.32,1.5,1.91,9.05,1.358,1.19,97.1
5.0,2773.02,1.32,1.5,1.91,9.05,1.358,1.19,95.0
10.0,2773.02,1.32,1.5,1.91,9.05,1.358,1.19,88.8
20.0,2773.02,1.32,1.5,1.91,9.05,1.358,1.19,81.6
0.1,670.0,5.41,1.5,0.72,9.71,3.071,1.89,122.4
0.2,670.0,5.41,1.5,0.72,9.71,3.071,1.89,92.4
0.5,670.0,5.41,1.5,0.72,9.71,3.071,1.89,79.7
1.0,670.0,5.41,1.5,0.72,9.71,3.071,1.89,72.7
2.0,670.0,5.41,1.5,0.72,9.71,3.071,1.89,68.4
5.0,670.0,5.41,1.5,0.72,9.71,3.071,1.89,61.1
10.0,670.0,5.41,1.5,0.72,9.71,3.071,1.89,55.7
20.0,670.0,5.41,1.5,0.72,9.71,3.071,1.89,49.1
40.0,670.0,5.41,1.5,0.72,9.71,3.071,1.89,43.7
50.0,670.0,5.41,1.5,0.72,9.71,3.071,1.89,42.2
0.1,1777.0,3.67,1.5,1.56,7.21,2.308,2.0,153.4
0.2,1777.0,3.67,1.5,1.56,7.21,2.308,2.0,117.6
0.5,1777.0,3.67,1.5,1.56,7.21,2.308,2.0,101.3
1.0,1777.0,3.67,1.5,1.56,7.21,2.308,2.0,93.9
2.0,1777.0,3.67,1.5,1.56,7.21,2.308,2.0,90.1
5.0,1777.0,3.67,1.5,1.56,7.21,2.308,2.0,83.1
10.0,1777.0,3.67,1.5,1.56,7.21,2.308,2.0,77.7
20.0,1777.0,3.67,1.5,1.56,7.21,2.308,2.0,72.3
40.0,1777.0,3.67,1.5,1.56,7.21,2.308,2.0,66.9
50.0,1777.0,3.67,1.5,1.56,7.21,2.308,2.0,64.2
0.1,2511.0,2.41,1.5,2.17,8.35,1.173,2.07,191.4
0.2,2511.0,2.41,1.5,2.17,8.35,1.173,2.07,167.7
0.5,2511.0,2.41,1.5,2.17,8.35,1.173,2.07,149.1
1.0,2511.0,2.41,1.5,2.17,8.35,1.173,2.07,138.4
2.0,2511.0,2.41,1.5,2.17,8.35,1.173,2.07,130.8
5.0,2511.0,2.41,1.5,2.17,8.35,1.173,2.07,123.6
10.0,2511.0,2.41,1.5,2.17,8.35,1.173,2.07,116.7
20.0,2511.0,2.41,1.5,2.17,8.35,1.173,2.07,113.8
40.0,2511.0,2.41,1.5,2.17,8.35,1.173,2.07,105.6
50.0,2511.0,2.41,1.5,2.17,8.35,1.173,2.07,99.9
0.1,2353.0,2.3,1.5,2.14,6.98,0.779,2.18,158.6
0.2,2353.0,2.3,1.5,2.14,6.98,0.779,2.18,127.2
0.5,2353.0,2.3,1.5,2.14,6.98,0.779,2.18,112.1
1.0,2353.0,2.3,1.5,2.14,6.98,0.779,2.18,104.0
2.0,2353.0,2.3,1.5,2.14,6.98,0.779,2.18,99.3
5.0,2353.0,2.3,1.5,2.14,6.98,0.779,2.18,91.6
10.0,2353.0,2.3,1.5,2.14,6.98,0.779,2.18,86.2
20.0,2353.0,2.3,1.5,2.14,6.98,0.779,2.18,81.6
40.0,2353.0,2.3,1.5,2.14,6.98,0.779,2.18,76.1
50.0,2353.0,2.3,1.5,2.14,6.98,0.779,2.18,73.9
0.1,3139.2,2.61,1.0,1.74,15.55,1.25974025974026,1.02,189.4
0.2,3139.2,2.61,1.0,1.74,15.55,1.25974025974026,1.02,155.0
0.5,3139.2,2.61,1.0,1.74,15.55,1.25974025974026,1.02,136.6
1.0,3139.2,2.61,1.0,1.74,15.55,1.25974025974026,1.02,126.1
2.0,3139.2,2.61,1.0,1.74,15.55,1.25974025974026,1.02,117.1
3.0,3139.2,2.61,1.0,1.74,15.55,1.25974025974026,1.02,112.5
4.0,3139.2,2.61,1.0,1.74,15.55,1.25974025974026,1.02,109.3
5.0,3139.2,2.61,1.0,1.74,15.55,1.25974025974026,1.02,106.7
7.0,3139.2,2.61,1.0,1.74,15.55,1.25974025974026,1.02,103.6
10.0,3139.2,2.61,1.0,1.74,15.55,1.25974025974026,1.02,100.0
14.0,3139.2,2.61,1.0,1.74,15.55,1.25974025974026,1.02,97.2
20.0,3139.2,2.61,1.0,1.74,15.55,1.25974025974026,1.02,94.2
50.0,3139.2,2.61,1.0,1.74,15.55,1.25974025974026,1.02,84.2
70.0,3139.2,2.61,1.0,1.74,15.55,1.25974025974026,1.02,66.9
100.0,3139.2,2.61,1.0,1.74,15.55,1.25974025974026,1.02,59.4
0.1,3224.9,3.05,1.0,1.93,12.89,0.93,0.94,225.3
0.2,3224.9,3.05,1.0,1.93,12.89,0.93,0.94,196.8
0.5,3224.9,3.05,1.0,1.93,12.89,0.93,0.94,174.3
1.0,3224.9,3.05,1.0,1.93,12.89,0.93,0.94,161.1
2.0,3224.9,3.05,1.0,1.93,12.89,0.93,0.94,150.8
3.0,3224.9,3.05,1.0,1.93,12.89,0.93,0.94,144.4
4.0,3224.9,3.05,1.0,1.93,12.89,0.93,0.94,141.2
5.0,3224.9,3.05,1.0,1.93,12.89,0.93,0.94,138.6
7.0,3224.9,3.05,1.0,1.93,12.89,0.93,0.94,134.0
10.0,3224.9,3.05,1.0,1.93,12.89,0.93,0.94,129.3
14.0,3224.9,3.05,1.0,1.93,12.89,0.93,0.94,124.5
20.0,3224.9,3.05,1.0,1.93,12.89,0.93,0.94,118.7
50.0,3224.9,3.05,1.0,1.93,12.89,0.93,0.94,103.0
70.0,3224.9,3.05,1.0,1.93,12.89,0.93,0.94,88.8
100.0,3224.9,3.05,1.0,1.93,12.89,0.93,0.94,73.8
0.1,2993.2,2.44,1.0,1.71,10.45,1.1375,0.91,193.0
0.2,2993.2,2.44,1.0,1.71,10.45,1.1375,0.91,160.1
0.5,2993.2,2.44,1.0,1.71,10.45,1.1375,0.91,141.2
1.0,2993.2,2.44,1.0,1.71,10.45,1.1375,0.91,129.3
2.0,2993.2,2.44,1.0,1.71,10.45,1.1375,0.91,120.9
3.0,2993.2,2.44,1.0,1.71,10.45,1.1375,0.91,116.7
4.0,2993.2,2.44,1.0,1.71,10.45,1.1375,0.91,112.9
5.0,2993.2,2.44,1.0,1.71,10.45,1.1375,0.91,110.9
7.0,2993.2,2.44,1.0,1.71,10.45,1.1375,0.91,108.3
10.0,2993.2,2.44,1.0,1.71,10.45,1.1375,0.91,104.5
14.0,2993.2,2.44,1.0,1.71,10.45,1.1375,0.91,102.0
20.0,2993.2,2.44,1.0,1.71,10.45,1.1375,0.91,99.4
50.0,2993.2,2.44,1.0,1.71,10.45,1.1375,0.91,91.0
70.0,2993.2,2.44,1.0,1.71,10.45,1.1375,0.91,79.4
100.0,2993.2,2.44,1.0,1.71,10.45,1.1375,0.91,70.2
0.1,2691.29,1.6,1.1,1.77,6.2,0.487394957983193,1.088,189.3
0.2,2691.29,1.6,1.1,1.77,6.2,0.487394957983193,1.088,160.1
0.5,2691.29,1.6,1.1,1.77,6.2,0.487394957983193,1.088,133.8
1.0,2691.29,1.6,1.1,1.77,6.2,0.487394957983193,1.088,123.8
2.0,2691.29,1.6,1.1,1.77,6.2,0.487394957983193,1.088,116.1
5.0,2691.29,1.6,1.1,1.77,6.2,0.487394957983193,1.088,106.5
10.0,2691.29,1.6,1.1,1.77,6.2,0.487394957983193,1.088,101.1
20.0,2691.29,1.6,1.1,1.77,6.2,0.487394957983193,1.088,96.7
0.5,1500.0,0.0,2.0,0.78,8.2,2.25,1.01,89.3333333333333
1.0,1500.0,0.0,2.0,0.78,8.2,2.25,1.01,80.4444444444444
2.0,1500.0,0.0,2.0,0.78,8.2,2.25,1.01,76.4444444444444
5.0,1500.0,0.0,2.0,0.78,8.2,2.25,1.01,71.1111111111111
10.0,1500.0,0.0,2.0,0.78,8.2,2.25,1.01,65.7777777777778
20.0,1500.0,0.0,2.0,0.78,8.2,2.25,1.01,58.2222222222222
50.0,1500.0,0.0,2.0,0.78,8.2,2.25,1.01,44.8888888888889
100.0,1500.0,0.0,2.0,0.78,8.2,2.25,1.01,18.2222222222222
0.5,1886.0,0.0,2.0,0.93,6.3,2.444,1.04,81.7777777777778
1.0,1886.0,0.0,2.0,0.93,6.3,2.444,1.04,76.0
2.0,1886.0,0.0,2.0,0.93,6.3,2.444,1.04,67.1111111111111
5.0,1886.0,0.0,2.0,0.93,6.3,2.444,1.04,62.2222222222222
10.0,1886.0,0.0,2.0,0.93,6.3,2.444,1.04,56.4444444444444
20.0,1886.0,0.0,2.0,0.93,6.3,2.444,1.04,50.6666666666667
50.0,1886.0,0.0,2.0,0.93,6.3,2.444,1.04,40.8888888888889
100.0,1886.0,0.0,2.0,0.93,6.3,2.444,1.04,28.4444444444444
0.5,1410.0,0.0,2.0,0.77,6.8,1.75,1.09,136.888888888889
1.0,1410.0,0.0,2.0,0.77,6.8,1.75,1.09,113.333333333333
2.0,1410.0,0.0,2.0,0.77,6.8,1.75,1.09,102.222222222222
5.0,1410.0,0.0,2.0,0.77,6.8,1.75,1.09,92.4444444444444
10.0,1410.0,0.0,2.0,0.77,6.8,1.75,1.09,85.7777777777778
20.0,1410.0,0.0,2.0,0.77,6.8,1.75,1.09,79.1111111111111
50.0,1410.0,0.0,2.0,0.77,6.8,1.75,1.09,72.0
100.0,1410.0,0.0,2.0,0.77,6.8,1.75,1.09,61.7777777777778
0.5,1655.0,0.0,2.0,0.81,4.3,2.522,1.05,73.3333333333333
1.0,1655.0,0.0,2.0,0.81,4.3,2.522,1.05,64.4444444444444
2.0,1655.0,0.0,2.0,0.81,4.3,2.522,1.05,59.1111111111111
5.0,1655.0,0.0,2.0,0.81,4.3,2.522,1.05,54.6666666666667
10.0,1655.0,0.0,2.0,0.81,4.3,2.522,1.05,51.5555555555556
20.0,1655.0,0.0,2.0,0.81,4.3,2.522,1.05,45.3333333333333
50.0,1655.0,0.0,2.0,0.81,4.3,2.522,1.05,41.7777777777778
100.0,1655.0,0.0,2.0,0.81,4.3,2.522,1.05,31.5555555555556
0.5,2813.0,0.0,1.5,1.82,11.54,1.755,1.01,194.0
1.0,2813.0,0.0,1.5,1.82,11.54,1.755,1.01,172.0
2.0,2813.0,0.0,1.5,1.82,11.54,1.755,1.01,152.0
4.0,2813.0,0.0,1.5,1.82,11.54,1.755,1.01,138.0
6.0,2813.0,0.0,1.5,1.82,11.54,1.755,1.01,129.0
8.0,2813.0,0.0,1.5,1.82,11.54,1.755,1.01,123.0
10.0,2813.0,0.0,1.5,1.82,11.54,1.755,1.01,119.0
15.0,2813.0,0.0,1.5,1.82,11.54,1.755,1.01,113.0
20.0,2813.0,0.0,1.5,1.82,11.54,1.755,1.01,108.0
30.0,2813.0,0.0,1.5,1.82,11.54,1.755,1.01,102.0
0.5,1274.8,13.57,1.0,0.551,6.15,2.50955414012739,1.97,127.5
1.0,1274.8,13.57,1.0,0.551,6.15,2.50955414012739,1.97,117.1
2.0,1274.8,13.57,1.0,0.551,6.15,2.50955414012739,1.97,106.8
5.0,1274.8,13.57,1.0,0.551,6.15,2.50955414012739,1.97,87.8
10.0,1274.8,13.57,1.0,0.551,6.15,2.50955414012739,1.97,67.9
20.0,1274.8,13.57,1.0,0.551,6.15,2.50955414012739,1.97,42.4
30.0,1274.8,13.57,1.0,0.551,6.15,2.50955414012739,1.97,23.9
60.0,1274.8,13.57,1.0,0.551,6.15,2.50955414012739,1.97,17.4
0.5,3407.6,2.11,1.0,1.953,6.82,0.416243654822335,2.41,194.4
1.0,3407.6,2.11,1.0,1.953,6.82,0.416243654822335,2.41,178.5
2.0,3407.6,2.11,1.0,1.953,6.82,0.416243654822335,2.41,165.5
5.0,3407.6,2.11,1.0,1.953,6.82,0.416243654822335,2.41,147.4
10.0,3407.6,2.11,1.0,1.953,6.82,0.416243654822335,2.41,131.8
20.0,3407.6,2.11,1.0,1.953,6.82,0.416243654822335,2.41,113.7
30.0,3407.6,2.11,1.0,1.953,6.82,0.416243654822335,2.41,102.5
60.0,3407.6,2.11,1.0,1.953,6.82,0.416243654822335,2.41,77.9
0.5,3553.1,2.67,1.0,2.071,7.48,0.363396971691903,2.79,199.1
1.0,3553.1,2.67,1.0,2.071,7.48,0.363396971691903,2.79,183.0
2.0,3553.1,2.67,1.0,2.071,7.48,0.363396971691903,2.79,172.4
5.0,3553.1,2.67,1.0,2.071,7.48,0.363396971691903,2.79,159.6
10.0,3553.1,2.67,1.0,2.071,7.48,0.363396971691903,2.79,150.3
20.0,3553.1,2.67,1.0,2.071,7.48,0.363396971691903,2.79,139.9
30.0,3553.1,2.67,1.0,2.071,7.48,0.363396971691903,2.79,130.1
60.0,3553.1,2.67,1.0,2.071,7.48,0.363396971691903,2.79,118.8
0.5,3553.1,2.67,3.0,2.071,7.48,0.363396971691903,2.79,134.3
0.5,3553.1,2.67,5.0,2.071,7.48,0.363396971691903,2.79,112.6
0.5,3553.1,2.67,10.0,2.071,7.48,0.363396971691903,2.79,103.4
0.5,3553.1,2.67,20.0,2.071,7.48,0.363396971691903,2.79,94.0
0.5,3553.1,2.67,30.0,2.071,7.48,0.363396971691903,2.79,85.3
0.5,3553.1,2.67,45.0,2.071,7.48,0.363396971691903,2.79,73.5
0.5,3415.3,1.98,1.0,2.482,6.93,0.190407673860911,2.82,169.3
1.0,3415.3,1.98,1.0,2.482,6.93,0.190407673860911,2.82,155.4
2.0,3415.3,1.98,1.0,2.482,6.93,0.190407673860911,2.82,144.7
5.0,3415.3,1.98,1.0,2.482,6.93,0.190407673860911,2.82,134.0
10.0,3415.3,1.98,1.0,2.482,6.93,0.190407673860911,2.82,125.7
20.0,3415.3,1.98,1.0,2.482,6.93,0.190407673860911,2.82,118.9
30.0,3415.3,1.98,1.0,2.482,6.93,0.190407673860911,2.82,114.5
60.0,3415.3,1.98,1.0,2.482,6.93,0.190407673860911,2.82,105.9
